budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
jails,2021-22,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,38,45.95,45.95,23.85,level_6,jails__jails__district jails__travel expenses,6,6,Jails - Jails - District Jails - Travel Expenses,district jails
jails,2018-19,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,24.45,17.55,17.55,23.2,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2019-20,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,15.239999999999998,23.2,23.2,61,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2020-21,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,9.74,61,81,68.82000000000001,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2021-22,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,23.47,68.82000000000001,68.82000000000001,54,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2018-19,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,5.5,5.5,0.02,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2019-20,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,3.42,0.02,0.02,19.21,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2020-21,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,19.21,29.71,0.02,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2021-22,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,21.21,0.02,16.020000000000003,0.01,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2018-19,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,2034.62,1792.48,1792.48,1915.52,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2019-20,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1736.48,1915.52,1915.52,2069.8,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2020-21,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1693.74,2069.8,2069.8,1816.29,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2021-22,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1957.13,1816.29,1816.29,1655.5700000000002,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2018-19,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,75.39,84.03,112.78,102.62,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2019-20,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,89.68,102.62,102.62,108.28,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2020-21,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,78.5,108.28,108.28,98.26,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2021-22,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,85.7,98.26,98.26,94.38000000000001,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2018-19,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,62.6,68.95,93.35,89.69,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,63.18,89.69,89.69,97.39999999999999,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,88.95,97.39999999999999,97.39999999999999,92.81,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,83.89,92.81,92.81,94.17,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2018-19,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.59,0.7,0.7,0.7,level_6,jails__other expenditure__open air jails__travel expenses,6,6,Jails - Other Expenditure - Open Air Jails - Travel Expenses,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.18,0.7,0.7,0.7,level_6,jails__other expenditure__open air jails__travel expenses,6,6,Jails - Other Expenditure - Open Air Jails - Travel Expenses,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.7,0.7,0.7,0.65,level_6,jails__other expenditure__open air jails__travel expenses,6,6,Jails - Other Expenditure - Open Air Jails - Travel Expenses,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails__null__travel expenses,2056__0__800__489__0__3,0.7,0.65,0.65,0.45,level_6,jails__other expenditure__open air jails__travel expenses,6,6,Jails - Other Expenditure - Open Air Jails - Travel Expenses,open-air jails
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles,2056__0__1__172__0__16,0,2,2,9,level_6,jails__direction and administration__head quarters establishment__purchase of motor vehicles,6,6,Jails - Direction And Administration - Head Quarters Establishment - Purchase Of Motor Vehicles,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles,2056__0__1__172__0__16,0.37,9,9,10,level_6,jails__direction and administration__head quarters establishment__purchase of motor vehicles,6,6,Jails - Direction And Administration - Head Quarters Establishment - Purchase Of Motor Vehicles,direction and administration
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles,2056__0__1__172__0__16,0,10,10,0.01,level_6,jails__direction and administration__head quarters establishment__purchase of motor vehicles,6,6,Jails - Direction And Administration - Head Quarters Establishment - Purchase Of Motor Vehicles,direction and administration
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles,2056__0__1__172__0__16,8.71,0.01,0.01,0,level_6,jails__direction and administration__head quarters establishment__purchase of motor vehicles,6,6,Jails - Direction And Administration - Head Quarters Establishment - Purchase Of Motor Vehicles,direction and administration
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,25.54,30,30,33,level_6,jails__direction and administration__head quarters establishment__maintenance,6,6,Jails - Direction And Administration - Head Quarters Establishment - Maintenance,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,10.95,33,33,50.09,level_6,jails__direction and administration__head quarters establishment__maintenance,6,6,Jails - Direction And Administration - Head Quarters Establishment - Maintenance,direction and administration
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,31.5,50.09,50.09,9.3,level_6,jails__direction and administration__head quarters establishment__maintenance,6,6,Jails - Direction And Administration - Head Quarters Establishment - Maintenance,direction and administration
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__maintenance,2056__0__1__172__0__17,6.64,9.3,11.47,9.9,level_6,jails__direction and administration__head quarters establishment__maintenance,6,6,Jails - Direction And Administration - Head Quarters Establishment - Maintenance,direction and administration
jails,2018-19,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,3.24,8,8,8,level_6,jails__direction and administration__range__office expenses,6,6,Jails - Direction And Administration - Range - Office Expenses,direction and administration
jails,2019-20,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.45,8,8,8,level_6,jails__direction and administration__range__office expenses,6,6,Jails - Direction And Administration - Range - Office Expenses,direction and administration
jails,2020-21,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.31,8,8,7.04,level_6,jails__direction and administration__range__office expenses,6,6,Jails - Direction And Administration - Range - Office Expenses,direction and administration
jails,2021-22,jails__null__direction and administration__range__null__office expenses,2056__0__1__1738__0__4,0.75,7.04,7.04,6.64,level_6,jails__direction and administration__range__office expenses,6,6,Jails - Direction And Administration - Range - Office Expenses,direction and administration
jails,2018-19,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,289.4,406,406,529.55,level_6,jails__jails__district jails__office expenses,6,6,Jails - Jails - District Jails - Office Expenses,district jails
jails,2019-20,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,192.39000000000001,529.55,529.55,545.16,level_6,jails__jails__district jails__office expenses,6,6,Jails - Jails - District Jails - Office Expenses,district jails
jails,2020-21,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,281.13,545.16,555.66,421,level_6,jails__jails__district jails__office expenses,6,6,Jails - Jails - District Jails - Office Expenses,district jails
jails,2021-22,jails__null__jails__district jails__null__office expenses,2056__0__101__486__0__4,294.98,421,421,253.7,level_6,jails__jails__district jails__office expenses,6,6,Jails - Jails - District Jails - Office Expenses,district jails
jails,2018-19,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,4.19,5.2,5.2,5.2,level_6,"jails__jails__district jails__rents, rates & taxes / royalty",6,6,"Jails - Jails - District Jails - Rents, Rates & Taxes / Royalty",district jails
jails,2019-20,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0,5.2,5.2,5.2,level_6,"jails__jails__district jails__rents, rates & taxes / royalty",6,6,"Jails - Jails - District Jails - Rents, Rates & Taxes / Royalty",district jails
jails,2020-21,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,0,5.2,5.2,4.840000000000001,level_6,"jails__jails__district jails__rents, rates & taxes / royalty",6,6,"Jails - Jails - District Jails - Rents, Rates & Taxes / Royalty",district jails
jails,2021-22,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",2056__0__101__486__0__6,3.91,4.840000000000001,4.840000000000001,4.36,level_6,"jails__jails__district jails__rents, rates & taxes / royalty",6,6,"Jails - Jails - District Jails - Rents, Rates & Taxes / Royalty",district jails
jails,2018-19,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,65,65,400,level_6,jails__jails__district jails__machinery and equipment / tools & plants,6,6,Jails - Jails - District Jails - Machinery And Equipment / Tools & Plants,district jails
jails,2019-20,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,400,400,400,level_6,jails__jails__district jails__machinery and equipment / tools & plants,6,6,Jails - Jails - District Jails - Machinery And Equipment / Tools & Plants,district jails
jails,2020-21,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,0,400,400,372,level_6,jails__jails__district jails__machinery and equipment / tools & plants,6,6,Jails - Jails - District Jails - Machinery And Equipment / Tools & Plants,district jails
jails,2021-22,jails__null__jails__district jails__null__machinery and equipment / tools & plants,2056__0__101__486__0__15,76.08,372,372,334.8,level_6,jails__jails__district jails__machinery and equipment / tools & plants,6,6,Jails - Jails - District Jails - Machinery And Equipment / Tools & Plants,district jails
jails,2018-19,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,3.84,4.3,4.3,4.45,level_6,jails__other expenditure__open air jails__office expenses,6,6,Jails - Other Expenditure - Open Air Jails - Office Expenses,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,1.01,4.45,4.45,4.45,level_6,jails__other expenditure__open air jails__office expenses,6,6,Jails - Other Expenditure - Open Air Jails - Office Expenses,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,1.09,4.45,4.45,4.16,level_6,jails__other expenditure__open air jails__office expenses,6,6,Jails - Other Expenditure - Open Air Jails - Office Expenses,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails__null__office expenses,2056__0__800__489__0__4,1.3,4.16,4.16,3.7399999999999998,level_6,jails__other expenditure__open air jails__office expenses,6,6,Jails - Other Expenditure - Open Air Jails - Office Expenses,open-air jails
jails,2018-19,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,1.74,3.5,3.5,10,level_6,jails__other expenditure__open air jails__minor works,6,6,Jails - Other Expenditure - Open Air Jails - Minor Works,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,1.64,10,10,25,level_6,jails__other expenditure__open air jails__minor works,6,6,Jails - Other Expenditure - Open Air Jails - Minor Works,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,6.5,25,25,23.25,level_6,jails__other expenditure__open air jails__minor works,6,6,Jails - Other Expenditure - Open Air Jails - Minor Works,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails__null__minor works,2056__0__800__489__0__14,14.99,23.25,23.25,9,level_6,jails__other expenditure__open air jails__minor works,6,6,Jails - Other Expenditure - Open Air Jails - Minor Works,open-air jails
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,9.95,106.88,106.88,30.86,level_6,jails__direction and administration__head quarters establishment__office expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Office Expenses,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,9.35,30.86,30.86,28.93,level_6,jails__direction and administration__head quarters establishment__office expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Office Expenses,direction and administration
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,12.08,28.93,68.93,30.09,level_6,jails__direction and administration__head quarters establishment__office expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Office Expenses,direction and administration
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__office expenses,2056__0__1__172__0__4,11.12,30.09,32.45,24.13,level_6,jails__direction and administration__head quarters establishment__office expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Office Expenses,direction and administration
jails,2018-19,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,29.34,63,63,105,level_6,jails__jails__district jails__maintenance,6,6,Jails - Jails - District Jails - Maintenance,district jails
jails,2019-20,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,31.78,105,105,125,level_6,jails__jails__district jails__maintenance,6,6,Jails - Jails - District Jails - Maintenance,district jails
jails,2020-21,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,98.56,125,156.5,55.8,level_6,jails__jails__district jails__maintenance,6,6,Jails - Jails - District Jails - Maintenance,district jails
jails,2021-22,jails__null__jails__district jails__null__maintenance,2056__0__101__486__0__17,117.19,55.8,55.8,99,level_6,jails__jails__district jails__maintenance,6,6,Jails - Jails - District Jails - Maintenance,district jails
jails,2018-19,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.4,0.4,0.4,level_6,jails__jail manufacturers__travel expenses,6,6,Jails - Jail Manufacturers - Travel Expenses,jail manufacturers
jails,2019-20,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.4,0.4,0.4,level_6,jails__jail manufacturers__travel expenses,6,6,Jails - Jail Manufacturers - Travel Expenses,jail manufacturers
jails,2020-21,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.4,0.4,0.37,level_6,jails__jail manufacturers__travel expenses,6,6,Jails - Jail Manufacturers - Travel Expenses,jail manufacturers
jails,2021-22,jails__null__jail manufacturers__null__null__travel expenses,2056__0__102__0__0__3,0,0.37,0.37,0.01,level_6,jails__jail manufacturers__travel expenses,6,6,Jails - Jail Manufacturers - Travel Expenses,jail manufacturers
jails,2018-19,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.7,0.7,0.7,level_6,jails__jail manufacturers__office expenses,6,6,Jails - Jail Manufacturers - Office Expenses,jail manufacturers
jails,2019-20,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.7,0.7,0.7,level_6,jails__jail manufacturers__office expenses,6,6,Jails - Jail Manufacturers - Office Expenses,jail manufacturers
jails,2020-21,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.7,0.7,0.65,level_6,jails__jail manufacturers__office expenses,6,6,Jails - Jail Manufacturers - Office Expenses,jail manufacturers
jails,2021-22,jails__null__jail manufacturers__null__null__office expenses,2056__0__102__0__0__4,0,0.65,0.65,0.01,level_6,jails__jail manufacturers__office expenses,6,6,Jails - Jail Manufacturers - Office Expenses,jail manufacturers
jails,2018-19,jails__null__jail manufacturers__null__null__maintenance,2056__0__102__0__0__17,0,5,5,30,level_6,jails__jail manufacturers__maintenance,6,6,Jails - Jail Manufacturers - Maintenance,jail manufacturers
jails,2019-20,jails__null__jail manufacturers__null__null__maintenance,2056__0__102__0__0__17,4.95,30,30,33,level_6,jails__jail manufacturers__maintenance,6,6,Jails - Jail Manufacturers - Maintenance,jail manufacturers
jails,2020-21,jails__null__jail manufacturers__null__null__maintenance,2056__0__102__0__0__17,2.9,33,33,30.69,level_6,jails__jail manufacturers__maintenance,6,6,Jails - Jail Manufacturers - Maintenance,jail manufacturers
jails,2021-22,jails__null__jail manufacturers__null__null__maintenance,2056__0__102__0__0__17,6.99,30.69,30.69,27,level_6,jails__jail manufacturers__maintenance,6,6,Jails - Jail Manufacturers - Maintenance,jail manufacturers
jails,2018-19,jails__null__other expenditure__open air jails__null__maintenance,2056__0__800__489__0__17,1.99,2,2,2.2,level_6,jails__other expenditure__open air jails__maintenance,6,6,Jails - Other Expenditure - Open Air Jails - Maintenance,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__maintenance,2056__0__800__489__0__17,0,2.2,2.2,2.42,level_6,jails__other expenditure__open air jails__maintenance,6,6,Jails - Other Expenditure - Open Air Jails - Maintenance,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__maintenance,2056__0__800__489__0__17,2.18,2.42,2.42,2.25,level_6,jails__other expenditure__open air jails__maintenance,6,6,Jails - Other Expenditure - Open Air Jails - Maintenance,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails__null__maintenance,2056__0__800__489__0__17,2.42,2.25,2.25,3.31,level_6,jails__other expenditure__open air jails__maintenance,6,6,Jails - Other Expenditure - Open Air Jails - Maintenance,open-air jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__salaries,2056__0__101__486__600__1,36.69,17.98,26.58,25.9,level_6,jails__jails__district jails__movement of prisons__salaries,6,6,Jails - Jails - District Jails - Movement Of Prisons - Salaries,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__salaries,2056__0__101__486__600__1,20.65,25.9,25.9,29.84,level_6,jails__jails__district jails__movement of prisons__salaries,6,6,Jails - Jails - District Jails - Movement Of Prisons - Salaries,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__salaries,2056__0__101__486__600__1,26.55,29.84,29.84,33.45,level_6,jails__jails__district jails__movement of prisons__salaries,6,6,Jails - Jails - District Jails - Movement Of Prisons - Salaries,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__salaries,2056__0__101__486__600__1,29.08,33.45,33.45,34.86,level_6,jails__jails__district jails__movement of prisons__salaries,6,6,Jails - Jails - District Jails - Movement Of Prisons - Salaries,district jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__travel expenses,2056__0__101__486__600__3,0,0.95,0.95,1.04,level_6,jails__jails__district jails__movement of prisons__travel expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Travel Expenses,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__travel expenses,2056__0__101__486__600__3,0.52,1.04,1.04,1.04,level_6,jails__jails__district jails__movement of prisons__travel expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Travel Expenses,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__travel expenses,2056__0__101__486__600__3,0.46,1.04,1.04,0.97,level_6,jails__jails__district jails__movement of prisons__travel expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Travel Expenses,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__travel expenses,2056__0__101__486__600__3,0.41,0.97,0.97,0.45,level_6,jails__jails__district jails__movement of prisons__travel expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Travel Expenses,district jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__office expenses,2056__0__101__486__600__4,0,3.5,3.5,3.7,level_6,jails__jails__district jails__movement of prisons__office expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Office Expenses,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__office expenses,2056__0__101__486__600__4,1.06,3.7,3.7,3.7,level_6,jails__jails__district jails__movement of prisons__office expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Office Expenses,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__office expenses,2056__0__101__486__600__4,0.48,3.7,3.7,3.4699999999999998,level_6,jails__jails__district jails__movement of prisons__office expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Office Expenses,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__office expenses,2056__0__101__486__600__4,0.85,3.4699999999999998,3.4699999999999998,2.98,level_6,jails__jails__district jails__movement of prisons__office expenses,6,6,Jails - Jails - District Jails - Movement Of Prisons - Office Expenses,district jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__minor works,2056__0__101__486__600__14,0,10,10,11,level_6,jails__jails__district jails__movement of prisons__minor works,6,6,Jails - Jails - District Jails - Movement Of Prisons - Minor Works,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__minor works,2056__0__101__486__600__14,0,11,11,12.1,level_6,jails__jails__district jails__movement of prisons__minor works,6,6,Jails - Jails - District Jails - Movement Of Prisons - Minor Works,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__minor works,2056__0__101__486__600__14,1.99,12.1,12.1,13.02,level_6,jails__jails__district jails__movement of prisons__minor works,6,6,Jails - Jails - District Jails - Movement Of Prisons - Minor Works,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__minor works,2056__0__101__486__600__14,12.06,13.02,13.02,11.7,level_6,jails__jails__district jails__movement of prisons__minor works,6,6,Jails - Jails - District Jails - Movement Of Prisons - Minor Works,district jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__maintenance,2056__0__101__486__600__17,0,2,2,3,level_6,jails__jails__district jails__movement of prisons__maintenance,6,6,Jails - Jails - District Jails - Movement Of Prisons - Maintenance,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__maintenance,2056__0__101__486__600__17,0.98,3,3,3.3,level_6,jails__jails__district jails__movement of prisons__maintenance,6,6,Jails - Jails - District Jails - Movement Of Prisons - Maintenance,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__maintenance,2056__0__101__486__600__17,3,3.3,3.3,3.07,level_6,jails__jails__district jails__movement of prisons__maintenance,6,6,Jails - Jails - District Jails - Movement Of Prisons - Maintenance,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__maintenance,2056__0__101__486__600__17,2.74,3.07,3.07,4.5,level_6,jails__jails__district jails__movement of prisons__maintenance,6,6,Jails - Jails - District Jails - Movement Of Prisons - Maintenance,district jails
jails,2018-19,jails__null__jails__district jails__movement of prisons__materials & supplies,2056__0__101__486__600__19,0,15,35,21.3,level_6,jails__jails__district jails__movement of prisons__materials & supplies,6,6,Jails - Jails - District Jails - Movement Of Prisons - Materials & Supplies,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons__materials & supplies,2056__0__101__486__600__19,34.38,21.3,21.3,17.81,level_6,jails__jails__district jails__movement of prisons__materials & supplies,6,6,Jails - Jails - District Jails - Movement Of Prisons - Materials & Supplies,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons__materials & supplies,2056__0__101__486__600__19,15.04,17.81,17.81,18.05,level_6,jails__jails__district jails__movement of prisons__materials & supplies,6,6,Jails - Jails - District Jails - Movement Of Prisons - Materials & Supplies,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons__materials & supplies,2056__0__101__486__600__19,16.75,18.05,18.05,17.849999999999998,level_6,jails__jails__district jails__movement of prisons__materials & supplies,6,6,Jails - Jails - District Jails - Movement Of Prisons - Materials & Supplies,district jails
