DatasetFor,Type,Dataset Title,JHURL,schemeID,file_title
Assam Rifles,Scheme,Union budget data for Assam Rifles (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-assam-rifles,P6,scheme-assam-rifles.csv
Border Area Development Program,Scheme,Union budget data for Border Area Development Program (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-area-development-program,P42,scheme-border-area-development.csv
Border Security Force,Scheme,Union budget data for Border Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-security-force,P3,scheme-border-security.csv
"BSF Air Wing, Aircrafts, River Boats and Helibase",Scheme,"Union budget data for BSF Air Wing, Aircrafts, River Boats and Helibase (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-bsf-air-wing-aircrafts-river-boats-and-helibase,P17,scheme-bsf-airwing-aircraft.csv
Departmental Accounting,Scheme,Union budget data for CAPF - Departmental Accounting (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-capf-departmental-accounting,P8,scheme-capf-departmental-accounting.csv
Central Industrial Security Force,Scheme,Union budget data for Central Industrial Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-industrial-security-force,P5,scheme-cisf.csv
Central Police Organisations,Scheme,Union budget data for Central Police Organisations (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-police-organisations,P13,scheme-cpo.csv
Central Reserve Police Force,Scheme,Union budget data for Central Reserve Police Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-reserve-police-force,P1,scheme-crpf.csv
Criminology and Forensic Science,Scheme,Union budget data for Criminology and Forensic Science (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-criminology-and-forensic-science,P15,scheme-criminology-forensic.csv
Delhi Police,Scheme,Union budget data for Delhi Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-delhi-police,P12,scheme-delhi-police.csv
e-Courts Phase II,Scheme,Union budget data for e-Courts Phase II (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-e-courts-phase-ii,L6,scheme-ecourts.csv
"Education, Training and Research",Scheme,"Union budget data for Education, Training and Research - Department of Police (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-education-training-and-research-department-of-police,P14,scheme-education-training-research-police.csv
EVMs for Election Commission,Scheme,Union budget data for EVMs for Election Commission (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-evms-for-election-commission,L22,scheme-elections.csv
Gram Nyayalayas,Scheme,Union budget data for Gram Nyayalayas (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-gram-nyayalayas,L15,scheme-Gram-Nyayalayas.csv
Home for Widows,Scheme,Union budget data for Home for Widows (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-home-for-widows,W9,scheme-home-for-widows.csv
Identity Cards to Voters,Scheme,Union budget data for Identity Cards to Voters (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-identity-cards-to-voters,L20,scheme-id-card.csv
Indian Law Institute (ILI),Scheme,Union budget data for Indian Law Institute (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-indian-law-institute,L12,scheme-ili.csv
Indo-Tibetan Border Police,Scheme,Union budget data for Indo-Tibetan Border Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-indo-tibetan-border-police,P4,scheme-indo-tibet.csv
Infrastructure Facilities for Judiciary,Scheme,Union budget data for Infrastructure Facilities for Judiciary (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-infrastructure-facilities-for-judiciary,L16,scheme-law-infrastructure.csv
Intelligence Bureau,Scheme,Union budget data for Intelligence Bureau (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-intelligence-bureau,P9,scheme-ib.csv
Lok Sabha Elections,Scheme,Union budget data for Lok Sabha Elections (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-lok-sabha-elections,L19,scheme-lok-sabha-elections.csv
Mahila Police Volunteers,Scheme,Union budget data for Mahila Police Volunteers (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-mahila-police-volunteers,W8,scheme-mahila-police.csv
Modernisation of State Police Forces and CCTNS,Scheme,Union budget data for Modernisation of State Police Forces and CCTNS (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-modernisation-of-state-police-forces-and-cctns,P40,scheme-modernisation-of-police.csv
National Commission for Protection of Child Rights (NCPCR),Scheme,Union budget data for National Commission for Protection of Child Rights (NCPCR) (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-commission-for-protection-of-child-rights,W1,scheme-ncpcr.csv
National Commission for Women,Scheme,Union budget data for National Commission for Women (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-commission-for-women,W2,scheme-ncw.csv
National Human Right Commission (NHRC),Scheme,Union budget data for National Human Right Commission (NHRC) (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-human-right-commission,H2,scheme-nhrc.csv
National Intelligence Grid,Scheme,Union budget data for National Intelligence Grid (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-intelligence-grid,P10,scheme-nig.csv
National Judicial Academy,Scheme,Union budget data for National Judicial Academy (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-judicial-academy,L10,scheme-national-judicial-academy.csv
National Legal Services Authority,Scheme,Union budget data for National Legal Services Authority (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-national-legal-services-authority,L11,scheme-nalsa.csv
National Security Guard,Scheme,Union budget data for National Security Guard (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-national-security-guard,P2,scheme-nsg.csv
One Stop Center,Scheme,Union budget data for One Stop Center (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-one-stop-center,W4,scheme-one-stop-center.csv
Other Election Expenses,Scheme,Union budget data for Other Election Expenses (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-other-election-expenses,L21,scheme-other-election-expenses.csv
Building Projects of CAPFs and Central Police Organisations,Scheme,Union budget data for Building Projects of CAPFs and Central Police Organisations (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-building-projects-of-capfs-and-central-police-organisations,P20,scheme-police-infrastructure.csv
Infrastructure - Delhi Police,Scheme,Union budget data for Infrastructure - Delhi Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-infrastructure-delhi-police,P21,scheme-police-infrastructure-delhi-police.csv
Research,Scheme,Union budget data for Research (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-research,P39,scheme-police-research.csv
Shashastra Seema Bal,Scheme,Union budget data for Shashastra Seema Bal (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-shashastra-seema-bal,P7,scheme-police-ssb.csv
Special Protection Group,Scheme,Union budget data for Special Protection Group (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-special-protection-group,P11,scheme-police-spg.csv
SRE and Special Infrastructure Scheme for LWE Areas,Scheme,Union budget data for SRE and Special Infrastructure Scheme for LWE Areas (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-sre-and-special-infrastructure-scheme-for-lwe-areas,P41,scheme-sre-special-infra.csv
Swadhar Greh,Scheme,Union budget data for Swadhar Greh (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-swadhar-greh,W5,scheme-swadhar-grah.csv
Ujjawala,Scheme,Union budget data for Ujjawala (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-ujjawala,W6,scheme-ujjwala.csv
Women Helpline,Scheme,Union budget data for Women Helpline (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-women-helpline,W3,scheme-women-helpline.csv
Working Women Hostel,Scheme,Union budget data for Working Women Hostel (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-working-women-hostel,W7,scheme-working-women-hostel.csv
Supreme Court of India,Scheme,Union budget data for Supreme Court of India (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-supreme-court-of-india,L37,scheme-supreme-court-india.csv
Jails,Scheme,Union budget data for Jails (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-jails,H1,scheme-jails.csv
SAMARTHYA,Scheme,Union budget data for SAMARTHYA (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-samarthya,W11,scheme-samarthya.csv
SAMBAL,Scheme,Union budget data for SAMBAL (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-sambal,W10,scheme-sambal.csv
Indian Cyber Crime Coordination Centre,Scheme,Union budget data for Indian Cyber Crime coordination center (2019-20 to 2021-22),https://justicehub.in/dataset/groups/union-budget-data-for-indian-cyber-crime-coordination-center,P27,scheme-cyber-crime-coordination-center.csv
Maintenance and Border Check Post,Scheme,Union budget data for Border Check Post (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-border-check-post,P18,scheme-border-check-post.csv
Capital Outlay,Scheme,Union budget data for Capital Outlay - Border Infrastructure and Management (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-capital-outlay-border-infrastructure-and-management,P19,scheme-capital-outlay-border-infra.csv
Administration of Justice,Scheme Category,Union budget data for Administration of Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-administration-of-justice,L23,scheme-category-administration-of-justice.csv
Grants-in-aid to State Governments - Law and Justice,Scheme Category,Union budget data for Grants-in-aid to State Governments - Law and Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-state-governments-law-and-justice,L31,scheme-category-grants-in-aid-state-law.csv
Grants-in-aid to Union Territory Governments - Law and Justice,Scheme Category,Union budget data for Grants-in-aid to Union Territory Governments - Law and Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-union-territory-governments-law-and-justice,L32,scheme-category-grants-in-aid-ut-law.csv
Grants-in-aid to State Governments - Police,Scheme Category,Union budget data for Grants-in-aid to State Governments - Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-state-governments-police,P49,scheme-category-grants-in-aid-state-police.csv
Grants-in-aid to Union Territory Governments - Police,Scheme Category,Union budget data for Grants-in-aid to Union Territory Governments - Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-union-territory-governments-police,P50,scheme-category-grants-in-aid-ut-police.csv
Mission VATSALYA,Scheme,Union budget data for Mission VATSALYA (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-mission-vatsalya,W13,scheme-vatsalya.csv
Child Protection Scheme,Scheme,Union budget data for Child Protection Scheme (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-child-protection-scheme,W12,scheme-child-protection.csv
